x_max,signal,k,gamma,peak_omega,abs_gap,rel_gap
300000000,theta_norm,2,21.022039639,21.17242887985332,0.15038924085332184,0.007153884372585824
300000000,theta_norm,3,25.01085758,25.142259294825823,0.13140171482582375,0.005253786856589016
300000000,theta_norm,4,30.424876126,30.435366514789152,0.010490388789150984,0.0003447964338690035
300000000,theta_norm,5,32.935061588,33.08192012477082,0.1468585367708144,0.004459033312520745
300000000,theta_norm,6,37.586178159,37.49284280807359,0.09333535092640943,0.002483236005841693
300000000,theta_norm,7,40.918719012,41.02158095471581,0.10286194271581195,0.002513811409532303
300000000,theta_norm,8,43.327073281,43.2270422963672,0.10003098463279514,0.002308740864725364
300000000,theta_norm,9,48.005150881,48.07905724800025,0.073906367000248,0.0015395507699466364
300000000,theta_norm,10,49.773832478,49.84342632132136,0.06959384332135699,0.0013982014214420282
300000000,psi_norm,1,14.134725141,14.114952586568881,0.01977255443111936,0.001398863736923044
300000000,psi_norm,2,21.022039639,21.17242887985332,0.15038924085332184,0.007153884372585824
300000000,psi_norm,3,25.01085758,25.142259294825823,0.13140171482582375,0.005253786856589016
300000000,psi_norm,4,30.424876126,30.435366514789152,0.010490388789150984,0.0003447964338690035
300000000,psi_norm,5,32.935061588,33.08192012477082,0.1468585367708144,0.004459033312520745
300000000,psi_norm,6,37.586178159,37.49284280807359,0.09333535092640943,0.002483236005841693
300000000,psi_norm,7,40.918719012,41.02158095471581,0.10286194271581195,0.002513811409532303
300000000,psi_norm,8,43.327073281,43.2270422963672,0.10003098463279514,0.002308740864725364
300000000,psi_norm,9,48.005150881,48.07905724800025,0.073906367000248,0.0015395507699466364
300000000,psi_norm,10,49.773832478,49.84342632132136,0.06959384332135699,0.0013982014214420282
500000000,theta_norm,1,14.134725141,14.052484681520072,0.08224045947992842,0.005818327463713956
500000000,theta_norm,2,21.022039639,20.86581058771162,0.15622905128837772,0.0074316790364405095
500000000,theta_norm,3,25.01085758,25.12413927908134,0.113281699081341,0.004529300873390564
500000000,theta_norm,4,30.424876126,30.234133708725004,0.19074241727499697,0.006269291499661864
500000000,theta_norm,5,32.935061588,32.78913092354683,0.14593066445317504,0.004430860530297152
500000000,theta_norm,6,37.586178159,37.47329248405352,0.11288567494647594,0.003003382638930144
500000000,theta_norm,7,40.918719012,40.8799554371493,0.038763574850698035,0.0009473310940973021
500000000,theta_norm,8,43.327073281,43.43495265197113,0.10787937097113343,0.002489883640916065
500000000,theta_norm,9,48.005150881,48.11911421247782,0.11396333147781945,0.0023739813204696142
500000000,theta_norm,10,49.773832478,49.822445689025706,0.04861321102570315,0.0009766820959023028
500000000,psi_norm,1,14.134725141,14.052484681520072,0.08224045947992842,0.005818327463713956
500000000,psi_norm,2,21.022039639,20.86581058771162,0.15622905128837772,0.0074316790364405095
500000000,psi_norm,3,25.01085758,25.12413927908134,0.113281699081341,0.004529300873390564
500000000,psi_norm,4,30.424876126,30.234133708725004,0.19074241727499697,0.006269291499661864
500000000,psi_norm,5,32.935061588,32.78913092354683,0.14593066445317504,0.004430860530297152
500000000,psi_norm,6,37.586178159,37.47329248405352,0.11288567494647594,0.003003382638930144
500000000,psi_norm,7,40.918719012,40.8799554371493,0.038763574850698035,0.0009473310940973021
500000000,psi_norm,8,43.327073281,43.43495265197113,0.10787937097113343,0.002489883640916065
500000000,psi_norm,9,48.005150881,48.11911421247782,0.11396333147781945,0.0023739813204696142
500000000,psi_norm,10,49.773832478,49.822445689025706,0.04861321102570315,0.0009766820959023028
1000000000,theta_norm,1,14.134725141,14.234012487601163,0.09928734660116234,0.007024356371328632
1000000000,theta_norm,2,21.022039639,21.147675695864585,0.125636056864586,0.0059763971061831
1000000000,theta_norm,3,25.01085758,24.807850335533455,0.20300724446654428,0.008116764641804188
1000000000,theta_norm,4,30.424876126,30.501455330573922,0.07657920457392109,0.00251699314261067
1000000000,theta_norm,5,32.935061588,32.94157175701984,0.006510169019833256,0.000197666823923756
1000000000,theta_norm,6,37.586178159,37.41511853883734,0.17105962016265863,0.004551130988605141
1000000000,theta_norm,7,40.918719012,41.075293178506215,0.1565741665062177,0.0038264679414890795
