x,t,theta_norm,psi_norm
355858680,19.69004424464037,-1.1132420652710753,-0.07495266118512377
355899654,19.690159379651767,-1.1172945483830399,-0.07906491408627431
355940633,19.69027451466317,-1.1268172063786444,-0.08864733884193027
355981616,19.690389649674568,-1.114622209437929,-0.07651210417322939
356022605,19.69050478468597,-1.1163000800553862,-0.07824973549029934
356063598,19.69061991969737,-1.1035680256870015,-0.06505568536941865
356104596,19.69073505470877,-1.106741223874237,-0.06828866677054395
356145598,19.69085018972017,-1.0485530449779823,-0.010160266596171965
356186605,19.69096532473157,-1.031313897050296,0.007019105644119738
356227617,19.69108045974297,-1.0477139391676566,-0.00944070912534225
356268634,19.69119559475437,-1.072710250459407,-0.03449679003309704
356309655,19.69131072976577,-1.08747127727608,-0.04931758197205939
356350681,19.69142586477717,-1.0805771108878026,-0.04248317766887052
356391712,19.69154099978857,-1.071849712964656,-0.03381553879280849
356432747,19.69165613479997,-1.1102583754558122,-0.07193628343680615
356473788,19.691771269811372,-1.083261097739844,-0.04499877870418206
356514833,19.69188640482277,-1.0960965503305815,-0.05789399978079157
356555882,19.692001539834173,-1.0768011625747158,-0.0386583760132799
356596937,19.692116674845572,-1.0713692850377452,-0.033286260878180964
356637996,19.692231809856974,-1.0849065987423778,-0.04688333248606871
356679060,19.692346944868373,-1.0674136126452944,-0.02945010124861685
356720128,19.692462079879775,-1.0730597575295318,-0.03515599649327588
356761202,19.692577214891173,-1.0737972665017625,-0.03595325423574509
356802280,19.692692349902575,-1.0590956929647606,-0.021311424968677245
356843363,19.692807484913974,-1.0509026277650144,-0.013178100992549822
356884450,19.692922619925376,-1.077309473168603,-0.039644683118862316
356925542,19.693037754936775,-1.0987536367819144,-0.06114858040749029
356966639,19.693152889948177,-1.1298280894209243,-0.09228276367361346
357007741,19.693268024959576,-1.1205028367995782,-0.08301723863038118
357048848,19.693383159970978,-1.1666675535073492,-0.12924167986647134
357089959,19.693498294982376,-1.1411174006015878,-0.10375124698591164
357131075,19.693613429993775,-1.123116599753009,-0.08581016311165245
357172195,19.693728565005177,-1.1053168040527865,-0.06807007988204701
357213321,19.693843700016576,-1.1232513882030672,-0.08554337921439246
357254451,19.693958835027978,-1.0840761867677504,-0.04642791413617876
357295586,19.694073970039376,-1.1253823401813923,-0.08779380085183618
357336725,19.69418910505078,-1.1564645297935539,-0.11893571925838123
357377870,19.694304240062177,-1.1253412683530126,-0.0878721850075543
