x_max,signal,peak_omega,amp_norm
1500000,theta_norm,21.06650660187945,0.6245775599619114
1500000,theta_norm,21.768723488608764,0.24951099656640577
1500000,theta_norm,24.577591035526023,0.4422060388611023
1500000,theta_norm,25.279807922255337,0.48080846184240367
1500000,theta_norm,30.19532612936054,0.39770858710204854
1500000,theta_norm,30.897543016089863,0.3313653496390254
1500000,theta_norm,32.30197678954849,0.25869220774621104
1500000,theta_norm,33.0041936762778,0.4266933805165142
1500000,theta_norm,37.21749499665369,0.3197889391321596
1500000,theta_norm,37.91971188338301,0.3514008776459419
1500000,theta_norm,40.728579430300265,0.31457325701136807
1500000,theta_norm,42.83523009048821,0.25306110258347647
1500000,theta_norm,43.53744697721753,0.31589367568263266
1500000,theta_norm,47.75074829759342,0.2594198554171816
1500000,theta_norm,49.85739895778136,0.2905583985866752
1500000,theta_norm,52.666266504698626,0.2553697093988479
1500000,psi_norm,13.342120847856986,0.4194946841665461
1500000,psi_norm,14.0443377345863,1.0
1500000,psi_norm,14.746554621315614,0.6027117713971939
1500000,psi_norm,20.364289715150132,0.3788804587664584
1500000,psi_norm,21.06650660187945,0.670943632803196
1500000,psi_norm,21.768723488608764,0.30074284706708676
1500000,psi_norm,24.577591035526023,0.42434223282232086
1500000,psi_norm,25.279807922255337,0.5060888095041447
1500000,psi_norm,30.19532612936054,0.42941365443920765
1500000,psi_norm,30.897543016089863,0.34882730046924865
1500000,psi_norm,32.30197678954849,0.2528346616530138
1500000,psi_norm,33.0041936762778,0.4299055205419038
1500000,psi_norm,37.21749499665369,0.31493613478006593
1500000,psi_norm,37.91971188338301,0.328874211703767
1500000,psi_norm,40.728579430300265,0.32559319885529703
1500000,psi_norm,42.83523009048821,0.23685080966728075
1500000,psi_norm,43.53744697721753,0.2981611934101684
1500000,psi_norm,47.75074829759342,0.28063120028211846
1500000,psi_norm,49.85739895778136,0.28111377803506327
1500000,psi_norm,52.666266504698626,0.2450211726938845
2000000,theta_norm,13.606951157148705,0.6729925550904613
2000000,theta_norm,14.28729871500614,1.0
2000000,theta_norm,14.967646272863576,0.3821507470802054
2000000,theta_norm,20.410426735723057,0.3582114081517647
2000000,theta_norm,21.09077429358049,0.6245478294814797
